siglum,marginalia,folio,sequence,incipit,feast,office,genre,position,cantus_id,mode,finalis,differentia,differentiae_database,fulltext_standardized,fulltext_ms,volpiano,image_link,melody_id,addendum,extra,node_id
CH-Zz Rh.132,,67v,b41,A solis occasu usque ad exortum,,,Sq,,ah50206,,,,,,,,,,,,623770
CH-Zz Rh.132,,68r,b42,Scalam ad caelos,,,Sq,,ah53245,,,,,,,,,,,,623771
CH-Zz Rh.132,,69v,b43,Cantemus cuncti melodum,,,Sq,,ah53034,,,,,,,,,,,,623772
CH-Zz Rh.132,,71r,b44,Eia recolamus laudibus piis,,,Sq,,ah53016,,,,,,,,,,,,623773
CH-Zz Rh.132,,72v,b45+,Benedicta semper sancta sit trinitas,,,Sq,,ah53081,,,,,,,,,,,,623774
CH-Zz Rh.132,,73r,c1,Xpm laude caelebri sexus et aetas,,,Sq,,ah34252,,,,,,,,,,,,623775
CH-Zz Rh.132,,74v,c2,Inmenso angelorum,,,Sq,,ah53155,,,,,,,,,,,,623776
CH-Zz Rh.132,,75v,c3,O Blasi dilecte,,,Sq,,ah53133,,,,,,,,,,,,623777
CH-Zz Rh.132,,76v,c4,Prompta mente trinitati,,,Sq,,ah50204,,,,,,,,,,,,623778
CH-Zz Rh.132,,78r,c5+,Laudes xpo redempti voce,,,Sq,,ah53045,,,,,,,,,,,,623779
CH-Zz Rh.132,,78v,c6,Quid tu virgo mater,,,Sq,,ah53239,,,,,,,,,,,,623780
CH-Zz Rh.132,,79v,c7,Quem athera et terra,,,Sq,,ah34001,,,,,,,,,,,,623781
