id,disambiguation,video,artist-credit_name,artist-credit_wiki,artist-credit_artist_genres_id,artist-credit_artist_genres_name,artist-credit_artist_genres_wiki,artist-credit_artist_id,artist-credit_artist_name,artist-credit_artist_wiki,length,title,title_wiki,annotation,genres_id,genres_name,genres_wiki,isrcs
https://musicbrainz.org/recording/563656af-0ccf-48ab-9791-9a37d2d43f4a,,False,Glen Velez,https://www.wikidata.org/wiki/Q1383968,,,,https://musicbrainz.org/artist/cf682e14-a639-444b-9128-86ad5e5b9188,Glen Velez,https://www.wikidata.org/wiki/Q1383968,,Ramanda,,,,,,
https://musicbrainz.org/recording/7cd05a94-75cb-41fd-b432-da0401b64d0b,,False,Glen Velez,https://www.wikidata.org/wiki/Q1383968,,,,https://musicbrainz.org/artist/cf682e14-a639-444b-9128-86ad5e5b9188,Glen Velez,https://www.wikidata.org/wiki/Q1383968,,Second Wind,https://www.wikidata.org/wiki/Q7443654,,,,,
https://musicbrainz.org/recording/a7dae856-ab7c-4762-973e-dbe201254a3a,,False,Dogs Deluxe,,,,,https://musicbrainz.org/artist/b48ba94f-a2b7-463b-a1d2-634c4a134e3e,Dogs Deluxe,,,Wreckin' Ball (Professor Stretch remix),,,,,,
https://musicbrainz.org/recording/72096d1e-a8a0-4752-8b25-1b027a4a66f6,,False,The Meateaters,,,,,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Were My Sunshine (Herbaliser remix),,,,,,
https://musicbrainz.org/recording/aec887db-4395-473e-8d4d-d3a484b0a9be,,False,King Kooba,https://www.wikidata.org/wiki/Q6411826,,,,https://musicbrainz.org/artist/82f8da4e-59e5-4bbf-b210-7d1a5644df48,King Kooba,https://www.wikidata.org/wiki/Q6411826,,Freakmeister (Ronnie & Clyde remix),,,,,,
https://musicbrainz.org/recording/067bdd7f-eaee-45e1-bc60-9969bdd2f4e4,,False,King Kooba,https://www.wikidata.org/wiki/Q6411826,,,,https://musicbrainz.org/artist/82f8da4e-59e5-4bbf-b210-7d1a5644df48,King Kooba,https://www.wikidata.org/wiki/Q6411826,,Quorma (The Underwolves remix),,,,,,
https://musicbrainz.org/recording/ee1f9b93-5223-45db-a59f-013e6703a9ce,,False,Grand Unified,,,,,https://musicbrainz.org/artist/7e43b099-8587-4b56-bd4c-66170d0bdb8a,Grand Unified,,,Shakeup (Jadell remix),,,,,,
https://musicbrainz.org/recording/53eb6cbf-fa93-4b4f-bdc5-4aa1d6df28a8,,False,The Meateaters,,,,,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Were My Sunshine,,,,,,
https://musicbrainz.org/recording/7a4221bf-58d8-4eef-af10-e6e62c819daa,,False,The Meateaters,,,,,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Were My Sunshine (Fifa remix),,,,,,
https://musicbrainz.org/recording/7c0450e7-72f0-4e38-8014-1e62974ac678,,False,Fifa,,,,,https://musicbrainz.org/artist/3bbf6da6-60d1-4746-8176-464eb9390375,Fifa,,,Dragsville (Headrillaz remix),,,,,,
