events_id,event,dtstart,dtend,venue,address,town,area,area_wiki,country,country_wiki,latitude,longitude
https://thesession.org/events/9399,Buttons and Bows,2023-09-16 20:00:00,2023-09-16 20:00:00,Station House Theatre,,Clifden,Galway,https://www.wikidata.org/wiki/Q129610,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.48860931,-10.01930046
https://thesession.org/events/9360,Open night with live performance from Ards CCÉ,2023-09-17 00:00:00,2023-09-17 00:00:00,St Joseph's College,518 Ravenhill Road,Belfast,Antrim,https://www.wikidata.org/wiki/Q609235,Northern Ireland,https://www.wikidata.org/wiki/Q26,54.57675171,-5.91197014
https://thesession.org/events/9406,"Pádraig O’Keeffe - The last of the fiddle masters with Peter Browne, Paudie O’Connor and Aoife Ní Chaoimh",2023-09-17 12:00:00,2023-09-17 12:00:00,Station House Theatre,,Clifden,Galway,https://www.wikidata.org/wiki/Q129610,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.48860931,-10.01930046
https://thesession.org/events/9404,Tae in the Bog: the musical traditions & biodiversity of South Sligo,2023-09-17 13:30:00,2023-09-17 16:30:00,Various Venues,,Ballymote,County Sligo,https://www.wikidata.org/wiki/Q179325,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.09233856,-8.52186966
https://thesession.org/events/9402,John Carty & Michael McGoldrick with Matt Griffin and Mick Conneelly,2023-09-18 20:30:00,2023-09-18 20:30:00,The Crane Bar,2 Sea Road,Galway,Galway,https://www.wikidata.org/wiki/Q129610,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.26914215,-9.06180954
https://thesession.org/events/9396,John Carty and Mike McGoldrick with Matt Griffin and Mick Conneely,2023-09-19 21:00:00,2023-09-19 21:00:00,Clifden Town Hall,,Clifden,Galway,https://www.wikidata.org/wiki/Q129610,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.48936081,-10.02367973
https://thesession.org/events/9437,The Bellingham Celtic Festival,2023-09-21 00:00:00,2023-09-24 00:00:00,Various Venues,,Bellingham,"Washington, D.C.",https://www.wikidata.org/wiki/Q61,United States of America,https://www.wikidata.org/wiki/Q30,48.75489807,-122.47811890
https://thesession.org/events/9420,Uilleann pipe lessons with Joe Byrne,2023-09-21 16:00:00,2023-09-21 16:45:00,Croghan Community Centre,,Croghan,County Offaly,https://www.wikidata.org/wiki/Q184445,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.34202957,-7.27480602
https://thesession.org/events/9439,Notes & Narratives: Mikie Smyth,2023-09-21 20:30:00,2023-09-21 20:30:00,Na Píobairí Uilleann,15 Henrietta Street,Dublin,Dublin,https://www.wikidata.org/wiki/Q1761,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.35229111,-6.27001905
https://thesession.org/events/9246,Cáceres Irish Fleadh,2023-09-22 00:00:00,2023-09-24 00:00:00,Various Venues,,Cáceres,Extremadura,https://www.wikidata.org/wiki/Q5777,Spain,https://www.wikidata.org/wiki/Q29,39.47621536,-6.37085867
