recording_id,length,video,artist-credit_artist_name,artist-credit_artist_id,artist-credit_name,annotation,disambiguation,title,genres_id,genres_name,isrcs
https://musicbrainz.org/recording/10b9c34b-821d-4cc8-9587-5c7d0cb68865,,False,Pigface,https://musicbrainz.org/artist/11137c88-a9a2-4ffa-a97d-fb058c6d6ce2,Pigface,,,Suck,,,
https://musicbrainz.org/recording/b26c15bd-9e01-4bc7-8bb0-63f58baa739b,,False,Ray Charles,https://musicbrainz.org/artist/2ce02909-598b-44ef-a456-151ba0a3bd70,Ray Charles,,,Kiss-A-Me Baby,,,
https://musicbrainz.org/recording/f28b2394-bd5d-4f0c-a0de-55ce015a5c57,,False,Unanimated,https://musicbrainz.org/artist/7f33e393-1827-4c2b-9bbd-e69a67b3d45e,Unanimated,,,Whispering Shadows,https://musicbrainz.org/genre/eacfa027-2fad-413f-a2f1-80fa43674f0b,death metal,
https://musicbrainz.org/recording/f28b2394-bd5d-4f0c-a0de-55ce015a5c57,,,,,,,,,https://musicbrainz.org/genre/cc28f5aa-5e19-487c-88e1-e56b022f1fdd,metal,
https://musicbrainz.org/recording/f28b2394-bd5d-4f0c-a0de-55ce015a5c57,,,,,,,,,https://musicbrainz.org/genre/0e3fc579-2d24-4f20-9dae-736e1ec78798,rock,
https://musicbrainz.org/recording/565de6d8-f93f-4b44-97e2-c1f3ffc2410a,264000,False,Baptism,https://musicbrainz.org/artist/3200cf86-ee25-491c-bffa-9feb2bc2f760,Baptism,,,The Calling,,,
https://musicbrainz.org/recording/192e313b-703b-456d-9143-bb7fa1f9dab1,,False,John Lee Hooker,https://musicbrainz.org/artist/b0122194-c49a-46a1-ade7-84d1d76bd8e9,John Lee Hooker,,,I'll Never Get Out of These Blues Alive,,,
https://musicbrainz.org/recording/17d3194b-c11d-4471-9938-829560e4383f,242000,False,Forbidden Pigs,https://musicbrainz.org/artist/c7ac345b-057f-4553-9eaf-76c6ce824f96,Forbidden Pigs,,,Mojo's Intro,,,
https://musicbrainz.org/recording/c3b08392-b751-4301-97c8-be9f2d2c78e4,,False,Tommy Makem,https://musicbrainz.org/artist/ed29f6fa-ca96-47f7-9c7e-b9f2f11f30e4,Tommy Makem,,,Morning Glory,,,
https://musicbrainz.org/recording/563656af-0ccf-48ab-9791-9a37d2d43f4a,,False,Glen Velez,https://musicbrainz.org/artist/cf682e14-a639-444b-9128-86ad5e5b9188,Glen Velez,,,Ramanda,,,
https://musicbrainz.org/recording/7cd05a94-75cb-41fd-b432-da0401b64d0b,,False,Glen Velez,https://musicbrainz.org/artist/cf682e14-a639-444b-9128-86ad5e5b9188,Glen Velez,,,Second Wind,,,
https://musicbrainz.org/recording/067bdd7f-eaee-45e1-bc60-9969bdd2f4e4,,False,King Kooba,https://musicbrainz.org/artist/82f8da4e-59e5-4bbf-b210-7d1a5644df48,King Kooba,,,Quorma (The Underwolves remix),,,
https://musicbrainz.org/recording/907ed963-b8f3-470e-8ecb-33e2a61e392a,,False,King Kooba,https://musicbrainz.org/artist/82f8da4e-59e5-4bbf-b210-7d1a5644df48,King Kooba,,,Brown Blood (Klute remix),,,
https://musicbrainz.org/recording/a7dae856-ab7c-4762-973e-dbe201254a3a,,False,Dogs Deluxe,https://musicbrainz.org/artist/b48ba94f-a2b7-463b-a1d2-634c4a134e3e,Dogs Deluxe,,,Wreckin' Ball (Professor Stretch remix),,,
https://musicbrainz.org/recording/72096d1e-a8a0-4752-8b25-1b027a4a66f6,,False,The Meateaters,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Were My Sunshine (Herbaliser remix),,,
https://musicbrainz.org/recording/7a4221bf-58d8-4eef-af10-e6e62c819daa,,False,The Meateaters,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Were My Sunshine (Fifa remix),,,
https://musicbrainz.org/recording/2a975ce5-51d8-45e5-b7db-fc682495674f,,False,The Meateaters,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Blow My Mind (King Kooba remix),,,
https://musicbrainz.org/recording/ee1f9b93-5223-45db-a59f-013e6703a9ce,,False,Grand Unified,https://musicbrainz.org/artist/7e43b099-8587-4b56-bd4c-66170d0bdb8a,Grand Unified,,,Shakeup (Jadell remix),,,
https://musicbrainz.org/recording/53eb6cbf-fa93-4b4f-bdc5-4aa1d6df28a8,,False,The Meateaters,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Were My Sunshine,,,
https://musicbrainz.org/recording/08d9d7a1-45f9-4be5-b449-04b2374bcb1c,,False,The Meateaters,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Blow My Mind (Dj Food remix),,,
https://musicbrainz.org/recording/aec887db-4395-473e-8d4d-d3a484b0a9be,,False,King Kooba,https://musicbrainz.org/artist/82f8da4e-59e5-4bbf-b210-7d1a5644df48,King Kooba,,,Freakmeister (Ronnie & Clyde remix),,,
https://musicbrainz.org/recording/2d6eb46a-7d32-461c-af37-39ef965464bb,,False,The Meateaters,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Were My Sunshine (radio edit),,,
