,http://uri.gbv.de/ontology/daia/label,http://purl.org/ontology/mo/lyrics,http://purl.org/ontology/mo/arrangement_of,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/terms/extent,http://d-nb.info/standards/elementset/gnd#formerOwner,http://purl.org/ontology/mo/key,http://rdvocab.info/Elements/otherTitleInformation,http://bsb-muenchen.de/ont/bsbMusicOntology#incipit,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/terms/format,http://purl.org/dc/terms/issued,http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/title,http://purl.org/dc/terms/description,http://purl.org/ontology/mo/catalogue_number
http://data.rism.info/id/rismid/000051652,,Tu che di tigre ircana,"S, vl (2), vla solo, vla, b, ob (2), cl (2), cor (2)","Brown, Allen A.",score: 23f.,"Brown, Allen A.",true,true,=4/2-'8G6GG8GnA/nBB-BBBnAB/4G,Operas,23 x 29 cm,1817 (1817p),000051652,Adelaide maritata. Excerpts,,
http://data.rism.info/id/rismid/000051660,,Sposo Timante,"S (2), strings, cor (2)",,score (incpl): 4f.,,true,false,''8.F6D/'4B8-BB''D/CC-CCE/DD4-8.D6F/q8F4.E,Duets (voc.),"23 x 29,5 cm",1800-1824 (19.1q),000051660,Lascia pur ch'io vada a morte,,
http://data.rism.info/id/rismid/000051662,,Minaccia avverso il fato,"S, vl (2), vla, b, ob (2), cor (2)",,12 parts,,true,false,=24/2-4-8-'F/2B+4B''8{ED}/2.D8{GF}/{FD}'4B2-/,Operas,23 x 30 cm,1800-1824 (19.1q),000051662,Quinto Fabio. Excerpts,,
http://data.rism.info/id/rismid/000051651,,Amor de' miei sospiri,"S, vl (2), vla, b, ob, fag, cor","Brown, Allen A.",score: 12f.,"Brown, Allen A.",true,true,=14/4-8-4-'8G/''4C8-4-8-/4-8C4E8C/'4A8A4-8-/,Operas,"23 x 29,5 cm",1817 (1817p),000051651,Adelaide maritata. Excerpts,,
http://data.rism.info/id/rismid/000051665,,Caro sposo amato oggetto,"S, orch","Belair, F. L. Henry de",10 parts,"Belair, F. L. Henry de",true,false,=19/'2BB/{''8C'A}4E-E/A''CEC/C'B2-/,Arias (voc.),Different sizes,,000051665,Caro sposo amato oggetto,"At head of f.1: ""N|o 44 | La collectione musicae | L. Henry de Bila[ir]""",
http://data.rism.info/id/rismid/000051655,,Ah non son io che parlo,"S, orch","Belair, F. L. Henry de",score: 15f.,"Belair, F. L. Henry de",true,true,=3/2-'6AD8D-''6D'A/4B-2-/4G8GAnBB-''D/,Operas,22 x 30 cm,1750 (1750p),000051655,Ezio. Excerpts,"Cataloguer's note, f.4, pencil: ""from Ezio""",litwotg 1a.15/41
http://data.rism.info/id/rismid/000051656,,Misera dove son,"S, orch","Metastasio, Pietro",score: 36f.,"Belair, F. L. Henry de",true,true,=3/2-'6AD8D-''6D'A/4B-2-/4G8GAnBB-''D/,Operas,22 x 30 cm,1750 (1750p),000051656,Ezio. Excerpts,"Cataloguer's note, f.4, pencil: ""from Ezio""",litwotg 1a.15/41
http://data.rism.info/id/rismid/000051759,,,org,,score: p.10-11,,true,false,6-{'FGA}8{D''D+}/{D6C'B}{''CD8E+}/{6E'AB''C},Inventions,,,000051759,Inventions,,
http://data.rism.info/id/rismid/000051649,,,"V, vl (2), vla, b, ob (2), cl (2), fag, cor (2), tr (2)",,score: 142f.,,false,true,,,Different sizes,1790-1810 (18/19),000051649,,USA: Fehlen Einzeleinträge?,
http://data.rism.info/id/rismid/000051758,,,org,,score: p.8-9,,true,false,"8-{,G'D,B}{'6C %G-2CEDE}{,A'DCD}/8-{DGE}",Fugues (inst.),,,000051758,Fugues,,
http://data.rism.info/id/rismid/000051755,,,org,"Mason, Lowell",score: 12f.,"Mason, Lowell",false,true,,,36 x 21 cm,1805 (1805),000051755,,"Contains 23p., p.21 and 24 are blank",
http://data.rism.info/id/rismid/000051659,,,"V, vl (2), vla, b, fl (2), ob (2), cor (2)","Brown, Allen A.",score: 66f.,"Brown, Allen A.",false,true,,,Different sizes,,000051659,,"Cataloguer's note, f.2v: ""Allen A. Brown | 1 January, 1898""",
http://data.rism.info/id/rismid/000051756,,,org,,score: p.1-3,,true,false,'4G''D'4.B8A/{GBAG}{xFA}4D/8{GDAD},Fugues (inst.),,,000051756,Fugues,,litbwv 578
http://data.rism.info/id/rismid/000051757,,,org,,score: p.4-7,,true,false,4-8-'6{DE}8{FDAD}/4xC6-{AGA}{FADF}{bBGFD}/,Fugues (inst.),,,000051757,Fugues,,litbwv 948
