event_id,type-id,disambiguation,cancelled,time,name,setlist,type,annotation,genres_id,relations_wiki
https://musicbrainz.org/event/5376664a-bf30-4258-ab62-1923d3a40151,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Wold Singers at Angel Suite,,Concert,,,
https://musicbrainz.org/event/5a69b7fa-343c-4dbd-a3d7-14023137ead0,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Magic Foot at Concord Scout House,,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/747d35f8-8f6a-4812-a000-8c31c63130c3,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Giant Robot Dance at Glen Echo Park,,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/f008f737-c27e-49f8-8a77-59f80042d176,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Crowfoot at Coffee Gallery Backstage,,Concert,,,
https://musicbrainz.org/event/a6dca7b4-cc48-4b79-a872-716d895c1c70,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Whoa-La! at Concord Scout House,,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/73a186c8-8e35-42f1-b4d1-00d4d2f02188,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Wold Singers at Barnetby Village Hall,,Concert,,,
https://musicbrainz.org/event/41aebcaf-68d7-41c9-849c-dfd4b3408b42,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Flow Quartet at Museumsmeile/Heussallee,,Concert,,,
https://musicbrainz.org/event/90bbe77e-42f7-4bff-a8d3-7165d4b1acf0,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Wildes Holz at Lessenicher Mühle,,Concert,,,
https://musicbrainz.org/event/4f9ce10d-7522-4e2f-8266-13ff3d52e1d3,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Wold Singers at Old Brumby United Church,,Concert,,,
https://musicbrainz.org/event/44b09c59-e1c1-4eb0-9575-c8a1a6248058,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Rumblestrip at Concord Scout House,,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/e47580d6-3d4f-4de2-a44b-c2e147427c1b,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Agnostic Fiddle Insurgency at Concord Scout House,,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/51cee656-333e-447b-b03e-86c3f1857ba5,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Crowfoot at Concord Scout House in Jan 2009,,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/7c62ad42-040d-4e87-9c40-d1be631c69d6,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Cologne Saxophone Quintet at Universität/Markt,,Concert,,,
https://musicbrainz.org/event/60e81e83-f59a-4bcb-a087-61b2067bd015,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Trio Lukasheva/Khabirpour/Entzian at Universität/Markt,,Concert,,,
https://musicbrainz.org/event/061ed65f-0f52-4ef9-86f3-59afba49b93c,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Compás a Tres at Museumsmeile/Heussallee,,Concert,,,
https://musicbrainz.org/event/eadcb3b0-3db4-43b6-8fde-240091aeebb5,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,The Free Raisins at Concord Scout House in Nov 2012,,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/b5748003-cc31-43cb-a003-9945ed7d8360,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Tine Thing Helseth at Evangelische Kirche Meßdorf,,Concert,,,
https://musicbrainz.org/event/82c0cc4a-d6ff-40f0-a287-8dd7bb599a4f,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Keaden at SAL,,Concert,,,
https://musicbrainz.org/event/29d57bf5-2aba-40fa-9596-9638728a3df6,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Sax in the City at Bonn Hbf/Thomas-Mann-Straße,,Concert,,,
https://musicbrainz.org/event/fad6a613-8103-47a2-999f-3131f09bc955,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Die Zähmung der Widerspenstigen,,Concert,,,
https://musicbrainz.org/event/037d27da-6cb0-4e3d-b96b-724b851375fd,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Merel Quartett at Felsenkapelle St. Michael,,Concert,,,
https://musicbrainz.org/event/9023ffdf-0e06-4d95-a093-940e0fe76405,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Waduh at Bonn Hbf/Thomas-Mann-Straße,,Concert,,,
https://musicbrainz.org/event/482f96f7-4509-4d8c-992a-7295c2780df9,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Benedikt Hesse Trio at Universität/Markt,,Concert,,,
https://musicbrainz.org/event/0ad035f4-f5f1-4cda-a394-847ee9b8fe29,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Wild Asparagus at Concord Scout House,,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/d0fb4357-74e0-4c40-a9a6-0f8587dd96ec,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Yassmo' at Bonn Hbf/Thomas-Mann-Straße,,Concert,,,
https://musicbrainz.org/event/9ff9beda-7a98-4637-a925-75af93bf7218,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Michael Korstick at Lessenicher Mühle,,Concert,,,
https://musicbrainz.org/event/8b06ad1e-69dd-48e5-bcda-7b30813c48fa,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Stardust at Le Rockstore,,Concert,,,
https://musicbrainz.org/event/01ab1910-fcba-44b3-a672-4a9e4316bf54,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,"Atlantic Crossing at Willard Straight Hall, Cornell",,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/c72ba1d3-2f40-40f2-a285-0f9ee6fa3708,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Perpetual e-Motion at Concord Scout House in April 2010,,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/324b923f-9cda-45d2-a7dc-e58089668253,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,20:00,Rahvusülikooli 95,,Concert,,,
https://musicbrainz.org/event/8a5e4c9b-31e8-4ba4-a485-4365350a4e0c,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Bonner Jazzchor at Kirche Alt St. Ulrich,,Concert,,,
https://musicbrainz.org/event/ba86d94b-f49f-4792-80ff-eb421be147eb,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Igor Lazarev Duo at Universität/Markt,,Concert,,,
https://musicbrainz.org/event/8093a86a-0850-48b8-beeb-42c862764041,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Greenfield Dance Band at Concord Scout House,,Concert,,https://musicbrainz.org/genre/2f7f569a-9348-4384-8508-2d0ac7d6a778,
https://musicbrainz.org/event/5774273c-bb54-480e-89c3-1f71326402ed,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Shakespeare Company Berlin at Ilmbühne,,Concert,,,
https://musicbrainz.org/event/5fe9594a-285c-46d1-b6f2-10abc48d9975,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Jordan Randall Smith at Leith Symington Griswold Hall,,Concert,,,
https://musicbrainz.org/event/4db2ed63-0336-4465-9ab1-b3afee5cae6c,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Firetruck at Concord Scout House,,Concert,,,
https://musicbrainz.org/event/6087d0ac-75c8-4b83-aa20-38e8c99e7127,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,18:00,Johann Sebastian Bach: Messe h-Moll,"* [ef5ff09e-0bf0-4ea1-bbfa-a7e670a0a12d|Messe h-Moll]@ [72280bfc-3443-4671-a988-243d88def145|Kammerchor St. Jacobi]; [db1847d1-b2d9-4350-9801-4b83a43da091|Barockorchester Antico Bremen]; Solisten: [5be3ca62-52b1-475d-9072-023313654777|Simone Schwark] (Sopran), [0e7c1b87-bf24-4a06-84db-45d130ac0df5|Karina Schönbeck] (Alt), [56ca1cc5-0ad8-4ddb-a39b-7f79a52c99b7|Tobias Hunger] (Tenor), [c16191d4-03ab-43c7-a428-9ce0b0181034|Henryk Böhm] (Bass); Leitung: [79e7e25e-c2e8-497f-89f8-f98d0128606a|Stefan Kordes]",Concert,,,
https://musicbrainz.org/event/1ce1438b-41c5-4413-8dee-f4d28936f761,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,When People Had Computers at KUNST!GARTEN,,Concert,,,
https://musicbrainz.org/event/073dce81-ad81-4a3e-bfa1-d4a582498a53,ef55e8d7-3d00-394a-8012-f5506a29ff0b,,False,,Merel Quartett at Reformierte Bergkirche,,Concert,,,
