label_id,label-code,sort-name,type-id,type,relations_wiki,name,country,annotation,disambiguation,area_name,area_id,area,genres_id,genres_name,ipis,isnis
https://musicbrainz.org/label/e20fe537-199b-4dcd-b2c6-fa7a9d338db7,,Midget Records,,,,Midget Records,DK,,Danish label,Denmark,https://musicbrainz.org/area/4757b525-2a60-324a-b060-578765d2c993,,,,,
https://musicbrainz.org/label/f318f48c-e7f4-4279-bd18-06474fbcfc16,,Smartsoft,a2426aab-2dd4-339c-b47d-b4923a241678,Production,,Smartsoft,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/a36f89c7-eeb8-4714-b4e8-e168fb973a9e,,Reflection,,,,Reflection,,,Nature sounds releases,,,,,,,
https://musicbrainz.org/label/554d2a73-6a88-495b-a662-4be2e2cb8932,,Miniatura Records,b6285b2a-3514-3d43-80df-fcf528824ded,Imprint,,Miniatura Records,AR,,,Argentina,https://musicbrainz.org/area/0df04709-c7d8-3b55-a6ea-f3e5069a947b,,,,,
https://musicbrainz.org/label/f6f637d8-8ef7-4be9-ac1e-baf4a1e9f8d4,,Overit Records,,,,Overit Records,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/9678c7a7-6481-49b4-813a-82d6638db450,,Solardisco,,,,Solardisco,,,,,,,,,,
https://musicbrainz.org/label/f37e8124-01c0-4f99-9327-4d17fe995b02,,Metaformal,,,,Metaformal,US,,DnB label run by Pieter K.,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/0dd032e2-4d20-4566-a06c-f9e051fa3415,,Goodtimes Production,,,,Goodtimes Production,SE,,,Sweden,https://musicbrainz.org/area/23d10872-f5ae-3f0c-bf55-332788a16ecb,,,,,
https://musicbrainz.org/label/2807c861-343f-4cca-92bd-4469fe854f1e,,A.R.M.Y Bullet,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,A.R.M.Y Bullet,GB,,,United Kingdom,https://musicbrainz.org/area/8a754a16-0027-3a29-b6d7-2b40ea0481ed,,,,,
https://musicbrainz.org/label/bca60609-258e-4030-b97e-daf2550d4da2,,Altanta International Records,e9ad53b0-e3d0-3885-a10b-8193d501338c,Publisher,,Altanta International Records,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/3b5568fc-8e37-43ec-b58c-a71e0a6b9d43,,Karmakosmetix,7aaa37fe-2def-3476-b359-80245850062d,Original Production,https://www.wikidata.org/wiki/Q11980307,Karmakosmetix,NO,,,Norway,https://musicbrainz.org/area/6743d351-6f37-3049-9724-5041161fff4d,,,,,
https://musicbrainz.org/label/6d8d7b81-7f25-488f-b942-19b45f859850,,Headphonica,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,Headphonica,DE,,,Germany,https://musicbrainz.org/area/85752fda-13c4-31a3-bee5-0e5cb1f51dad,,,,,
https://musicbrainz.org/label/3cc9dbe0-fe75-480d-9f0a-58a2e8c15160,,Il Posto Records,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,Il Posto Records,,,,,,,,,,
https://musicbrainz.org/label/a90c6069-9a3e-4dc4-96b7-e7c98dfb68b3,,Rolf Budde Musikverlag,e9ad53b0-e3d0-3885-a10b-8193d501338c,Publisher,,Rolf Budde Musikverlag,,,aka Budde Music,Berlin,https://musicbrainz.org/area/c9ac1239-e832-41bc-9930-e252a1fd1105,,,,00057848437,
https://musicbrainz.org/label/a90c6069-9a3e-4dc4-96b7-e7c98dfb68b3,,,,,,,,,,,,,,,00062612400,
https://musicbrainz.org/label/a90c6069-9a3e-4dc4-96b7-e7c98dfb68b3,,,,,,,,,,,,,,,00249626636,
https://musicbrainz.org/label/1180fc34-90b8-4eaf-9a14-7d4a0ef0a1bc,,Wayside Music,,,,Wayside Music,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/5ba0a9cd-96fe-458f-a474-8ecc4c61fa6a,,CGI Records,a2426aab-2dd4-339c-b47d-b4923a241678,Production,,CGI Records,US,,American gospel label,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/cac2a9f0-f292-4122-abcd-18b0778ee4a3,,"Personal Edge Marketing, Inc.",,,,"Personal Edge Marketing, Inc.",US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/c2894d2e-4282-495e-84f7-cbee0a66a89a,10833,STIR15 Recordings,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,STIR15 Recordings,DE,,,Germany,https://musicbrainz.org/area/85752fda-13c4-31a3-bee5-0e5cb1f51dad,,,,,
https://musicbrainz.org/label/9c4ad3f4-d8f6-4844-8a4c-d382c6a048cb,,National Progression Records,,,,National Progression Records,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/82954ca5-1385-4b54-9eab-74322a83433e,,Safety Meeting,,,,Safety Meeting,,,,New Haven,https://musicbrainz.org/area/29754947-4414-4aa1-aeb1-b8bafb8b0e18,,,,,
https://musicbrainz.org/label/494b3725-f309-4789-80eb-123ffbe1c508,,Challenge,7aaa37fe-2def-3476-b359-80245850062d,Original Production,https://www.wikidata.org/wiki/Q5068913,Challenge,US,,US pop/country/jazz 50s-,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/743532e7-da52-45e1-a16d-534ca1018615,,Deutsche Grammophon Favorit,,,,Deutsche Grammophon Favorit,DE,"For releases which carry the logo described below. Please always add these releases additionally to the label [http://musicbrainz.org/label/5a584032-dcef-41bb-9f8b-19540116fb1c|Deutsche Grammophon] and to the series [https://musicbrainz.org/series/a066c2fe-925e-496c-837c-0ae2c9b66797|Favorit].The logo consists of the usual yellow logo of Deutsche Grammophon, which is combined with the writing ""FAVORIT"" below in a joint rectangular box. See this [https://coverartarchive.org/release/78a10bae-c586-480b-8ba3-edd51b9be304/9890602901.jpg|example]. The discs carry the pure logo of Deutsche Grammophon, see this [https://coverartarchive.org/release/78a10bae-c586-480b-8ba3-edd51b9be304/9890596991.jpg|example].'''Attention:''' If the writing ""Deutsche Grammophon"" is not present in the logo, but the writing ""Favorit"" is, use the (sole) label [https://musicbrainz.org/label/592df263-8f88-4d29-b513-3e6a62e2d993|Favorit] instead.",Read the annotation!,Germany,https://musicbrainz.org/area/85752fda-13c4-31a3-bee5-0e5cb1f51dad,,,,,
https://musicbrainz.org/label/c8287bf5-dcfb-47b0-a817-3ae8c51e8151,,Phantom Airship,,,,Phantom Airship,,,,,,,,,,
https://musicbrainz.org/label/8aed075d-5e05-4445-8206-563b83f33102,,Spacebar Recordings,,,,Spacebar Recordings,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/de29bf71-eb18-4d97-acdf-803bac0941f0,,Manorama Music,7aaa37fe-2def-3476-b359-80245850062d,Original Production,https://www.wikidata.org/wiki/Q6751417,Manorama Music,IN,,,India,https://musicbrainz.org/area/d31a9a15-537f-3669-ad53-25753ddd2772,,,,,
https://musicbrainz.org/label/e640a1c0-b410-4dfa-950b-6b78e897c64f,,Edition Steamed Milk,e9ad53b0-e3d0-3885-a10b-8193d501338c,Publisher,,Edition Steamed Milk,,,,,,,,,,
https://musicbrainz.org/label/411f11ee-c143-4c02-af82-ae1f9849aa10,,Black Label Records,,,,Black Label Records,JP,,doujin circle,Japan,https://musicbrainz.org/area/2db42837-c832-3c27-b4a3-08198f75693c,,,,,
https://musicbrainz.org/label/9b5a958b-68c7-4a4b-8a27-37a7ef52bdb7,,Chancellor,7aaa37fe-2def-3476-b359-80245850062d,Original Production,https://www.wikidata.org/wiki/Q1061649,Chancellor,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/0a51316f-0c19-412b-bd23-b57d062c4f53,,Reconstruction Productions,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,Reconstruction Productions,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/7e8df63b-d309-48cc-8e32-3a17f56ad644,,Halo Records,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,Halo Records,,,late 80s Chicago,Chicago,https://musicbrainz.org/area/29a709d8-0320-493e-8d0c-f2c386662b7f,,,,,
https://musicbrainz.org/label/b20a7bab-7c6e-4237-838d-60e2cc49907e,,Lino Vinyl,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,Lino Vinyl,GB,,,United Kingdom,https://musicbrainz.org/area/8a754a16-0027-3a29-b6d7-2b40ea0481ed,,,,,
https://musicbrainz.org/label/a3aadff6-4110-45ca-8088-136c53dd27d3,,Myrrh LA,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,Myrrh LA,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/b2c3359a-a585-4f26-b599-567a77af9a2d,,Doubletrap,a2426aab-2dd4-339c-b47d-b4923a241678,Production,,Doubletrap,JP,,,Japan,https://musicbrainz.org/area/2db42837-c832-3c27-b4a3-08198f75693c,,,,,
https://musicbrainz.org/label/284a654a-6ebe-40c9-bbc7-7a23f6b82c09,,Promise Production & Kırmızı Kutu,,,,Promise Production & Kırmızı Kutu,TR,,,Türkiye,https://musicbrainz.org/area/d3be28b4-41f7-3752-8a05-ed45e1d1e492,,,,,
https://musicbrainz.org/label/2e40cc88-05a0-44bd-8f92-112f4e95917e,,Amemura O-town Record,,,https://www.wikidata.org/wiki/Q11190224,Amemura O-town Record,JP,,,Japan,https://musicbrainz.org/area/2db42837-c832-3c27-b4a3-08198f75693c,,,,,
https://musicbrainz.org/label/164dbe10-9e7e-4ba1-b788-e7b2190c25f9,,Distorted Monkeys Productions,,,,Distorted Monkeys Productions,XW,,,[Worldwide],https://musicbrainz.org/area/525d4e18-3d00-31b9-a58b-a146a916de8f,,,,,
https://musicbrainz.org/label/e215ee82-d248-4db0-97a0-639d3e96705b,,Baracca & Burattini,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,Baracca & Burattini,IT,,,Italy,https://musicbrainz.org/area/c6500277-9a3d-349b-bf30-41afdbf42add,,,,,
https://musicbrainz.org/label/5c16b32a-473f-438d-8fdd-5870add6a603,,Stash Records,a2426aab-2dd4-339c-b47d-b4923a241678,Production,,Stash Records,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
https://musicbrainz.org/label/175421ce-ab56-4b9d-8533-133f0826719e,,Artvizyon,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,Artvizyon,TR,,,Türkiye,https://musicbrainz.org/area/d3be28b4-41f7-3752-8a05-ed45e1d1e492,,,,,
https://musicbrainz.org/label/ce6884b6-ddeb-48e1-afd8-2b0f0494e38c,,Alaska Swimming Gear,7aaa37fe-2def-3476-b359-80245850062d,Original Production,,Alaska Swimming Gear,BE,,,Belgium,https://musicbrainz.org/area/5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc,,,,,
https://musicbrainz.org/label/5cdbea46-aa3b-4b54-8080-ea44b32d8d0c,,Allegro Corporation,88ee6ae7-f413-3490-a1d2-54f6a9f0838c,Reissue Production,,Allegro Corporation,US,,,United States,https://musicbrainz.org/area/489ce91b-6658-3307-9877-795b68554c98,,,,,
