recording_id,length,video,artist-credit_artist_id,annotation,disambiguation,title,genres_id,isrcs
https://musicbrainz.org/recording/10b9c34b-821d-4cc8-9587-5c7d0cb68865,,False,https://musicbrainz.org/artist/11137c88-a9a2-4ffa-a97d-fb058c6d6ce2,,,Suck,,
https://musicbrainz.org/recording/b26c15bd-9e01-4bc7-8bb0-63f58baa739b,,False,https://musicbrainz.org/artist/2ce02909-598b-44ef-a456-151ba0a3bd70,,,Kiss-A-Me Baby,,
https://musicbrainz.org/recording/f28b2394-bd5d-4f0c-a0de-55ce015a5c57,,False,https://musicbrainz.org/artist/7f33e393-1827-4c2b-9bbd-e69a67b3d45e,,,Whispering Shadows,https://musicbrainz.org/genre/eacfa027-2fad-413f-a2f1-80fa43674f0b,
https://musicbrainz.org/recording/f28b2394-bd5d-4f0c-a0de-55ce015a5c57,,,,,,,https://musicbrainz.org/genre/cc28f5aa-5e19-487c-88e1-e56b022f1fdd,
https://musicbrainz.org/recording/f28b2394-bd5d-4f0c-a0de-55ce015a5c57,,,,,,,https://musicbrainz.org/genre/0e3fc579-2d24-4f20-9dae-736e1ec78798,
https://musicbrainz.org/recording/565de6d8-f93f-4b44-97e2-c1f3ffc2410a,264000,False,https://musicbrainz.org/artist/3200cf86-ee25-491c-bffa-9feb2bc2f760,,,The Calling,,
https://musicbrainz.org/recording/192e313b-703b-456d-9143-bb7fa1f9dab1,,False,https://musicbrainz.org/artist/b0122194-c49a-46a1-ade7-84d1d76bd8e9,,,I'll Never Get Out of These Blues Alive,,
https://musicbrainz.org/recording/17d3194b-c11d-4471-9938-829560e4383f,242000,False,https://musicbrainz.org/artist/c7ac345b-057f-4553-9eaf-76c6ce824f96,,,Mojo's Intro,,
https://musicbrainz.org/recording/c3b08392-b751-4301-97c8-be9f2d2c78e4,,False,https://musicbrainz.org/artist/ed29f6fa-ca96-47f7-9c7e-b9f2f11f30e4,,,Morning Glory,,
https://musicbrainz.org/recording/563656af-0ccf-48ab-9791-9a37d2d43f4a,,False,https://musicbrainz.org/artist/cf682e14-a639-444b-9128-86ad5e5b9188,,,Ramanda,,
https://musicbrainz.org/recording/7cd05a94-75cb-41fd-b432-da0401b64d0b,,False,https://musicbrainz.org/artist/cf682e14-a639-444b-9128-86ad5e5b9188,,,Second Wind,,
https://musicbrainz.org/recording/067bdd7f-eaee-45e1-bc60-9969bdd2f4e4,,False,https://musicbrainz.org/artist/82f8da4e-59e5-4bbf-b210-7d1a5644df48,,,Quorma (The Underwolves remix),,
https://musicbrainz.org/recording/907ed963-b8f3-470e-8ecb-33e2a61e392a,,False,https://musicbrainz.org/artist/82f8da4e-59e5-4bbf-b210-7d1a5644df48,,,Brown Blood (Klute remix),,
https://musicbrainz.org/recording/a7dae856-ab7c-4762-973e-dbe201254a3a,,False,https://musicbrainz.org/artist/b48ba94f-a2b7-463b-a1d2-634c4a134e3e,,,Wreckin' Ball (Professor Stretch remix),,
