siglum,marginalia,folio,sequence,incipit,feast,office,genre,position,cantus_id,mode,finalis,differentia,differentiae_database,fulltext_standardized,fulltext_ms,volpiano,image_link,melody_id,addendum,extra,node_id
F-Pn 17436,,29r,s1,,,,Sq,,,,,,,,,,,,,,620821
F-Pn 17436,,29r,s2,,,,Sq,,,,,,,,,,,,,,620822
F-Pn 17436,,30r,s3,,,,Sq,,,,,,,,,,,,,,620823
F-Pn 17436,,30r,s4,,,,Sq,,,,,,,,,,,,,,620824
F-Pn 17436,,30r,s5,,,,Sq,,,,,,,,,,,,,,620825
F-Pn 17436,,24r,x1,     Summa pia gratia nostra,,,Sq,,,,,,,,,,,,,,620826
