siglum,marginalia,folio,sequence,incipit,feast,office,genre,position,cantus_id,mode,finalis,differentia,differentiae_database,fulltext_standardized,fulltext_ms,volpiano,image_link,melody_id,addendum,extra,node_id
I-PS 121,,9r,01,Salus aeterna,,,Sq,,ah53001,,,,,,,,,,,,626439
I-PS 121,,10r,02,Ecce veniet deus,,,Sq,,ah40001,,,,,,,,,,,,626440
I-PS 121,,12r,03,Cunctum orbem aeternitatis,,,Sq,,ah37007,,,,,,,,,,,,626441
I-PS 121,,13r,04,Benignissima domini,,,Sq,,ah40002,,,,,,,,,,,,626442
I-PS 121,,18r,05,Chricti hodierna pangimini,,,Sq,,ah53017,,,,,,,,,,,,626443
I-PS 121,,19v,06,Hodie puer natus est,,,Sq,,ah53018,,,,,,,,,,,,626444
I-PS 121,,20v,07,Christum natum nova,,,Sq,,ah37008,,,,,,,,,,,,626445
I-PS 121,,21v,08,Ecce annuntio caelicole,,,Sq,,ah37003,,,,,,,,,,,,626446
I-PS 121,,23v,09,Hanc concordi,,,Sq,,ah53215,,,,,,,,,,,,626447
I-PS 121,,24v,10,Iohannes iesu Chricto,,,Sq,,ah53168,,,,,,,,,,,,626448
I-PS 121,,25v,11,Quid tu virgo mater,,,Sq,,ah53239,,,,,,,,,,,,626449
I-PS 121,,26v,12,Eia recolamus laudibus piis,,,Sq,,ah53016,,,,,,,,,,,,626450
I-PS 121,,28v,13,Stella sita quam viderant,,,Sq,,ah40008,,,,,,,,,,,,626451
I-PS 121,,29v,14,Hanc diem tribus,,,Sq,,ah53030,,,,,,,,,,,,626452
I-PS 121,,31r,15,Virgo Maria gaudia,,,Sq,,ah40066,,,,,,,,,,,,626453
I-PS 121,,32v,16,Eia organica cantica,,,Sq,,ah37104,,,,,,,,,,,,626454
I-PS 121,,35v,17,Nunc exultet omnis mundus,,,Sq,,ah53073,,,,,,,,,,,,626455
I-PS 121,,37v,18,Dic nobis quibus,,,Sq,,ah53037,,,,,,,,,,,,626456
I-PS 121,,38r,19,Ecce vicit radix david,,,Sq,,ah53039,,,,,,,,,,,,626457
I-PS 121,,39v,20,Clara gaudia,,,Sq,,ah53038,,,,,,,,,,,,626458
I-PS 121,,42r,21,Rex omnipotens,,,Sq,,ah53066,,,,,,,,,,,,626459
I-PS 121,,43v,22,Ascendit deus in iubilo,,,Sq,,ah37029,,,,,,,,,,,,626460
I-PS 121,,44v,23,Ecce dies venerandus,,,Sq,,ah37031,,,,,,,,,,,,626461
I-PS 121,,46r,24,Fulgens preclara,,,Sq,,ah53035,,,,,,,,,,,,626462
I-PS 121,,48r,25,Sancti spiritus adsit nobis,,,Sq,,ah53070,,,,,,,,,,,,626463
I-PS 121,,49v,26,Eia musa dic,,,Sq,,ah53075,,,,,,,,,,,,626464
I-PS 121,,50v,27,Quidam magna transit,,,Sq,,ah40039,,,,,,,,,,,,626465
I-PS 121,,51r,28,Stans a longe,,,Sq,,ah53093,,,,,,,,,,,,626466
I-PS 121,,51v,29,Alma chorus domini,,,Sq,,ah53087,,,,,,,,,,,,626467
I-PS 121,,52v,30,Benedicta semper sancta,,,Sq,,ah53081,,,,,,,,,,,,626468
I-PS 121,,54v,31,Nativitas precursoris,,,Sq,,ah07141,,,,,,,,,,,,626469
I-PS 121,,55v,32,Alme mundi rex,,,Sq,,ah37213,,,,,,,,,,,,626470
I-PS 121,,56v,33,Sancti baptiste Chriscti,,,Sq,,ah53163,,,,,,,,,,,,626471
I-PS 121,,58r,34,Petre summe Christi pastor,,,Sq,,ah53210,,,,,,,,,,,,626472
I-PS 121,,59r,35,Haec est sancta sollemnitas cunctis,,,Sq,,ah53240,,,,,,,,,,,,626473
I-PS 121,,59v,36,Quem superne tripudiatim,,,Sq,,ah07128,,,,,,,,,,,,626474
I-PS 121,,62r,37,Laurenti David,,,Sq,,ah53173,,,,,,,,,,,,626475
I-PS 121,,63r,38,Congaudent angelorum chori,,,Sq,,ah53104,,,,,,,,,,,,626476
I-PS 121,,64v,39,Aurea virga prime matris,,,Sq,,ah07107,,,,,,,,,,,,626477
I-PS 121,,66v,40,Clare sanctorum senatus,,,Sq,,ah53228,,,,,,,,,,,,626478
I-PS 121,,67t,41,Alle celeste necnon,,,Sq,,ah53097,,,,,,,,,,,,626479
I-PS 121,,69r,42,Alma fulgens lux preclara,,,Sq,,ah37016,,,,,,,,,,,,626480
I-PS 121,,69v,43,Summi regis archangele,,,Sq,,ah53192,,,,,,,,,,,,626481
I-PS 121,,70v,44,Ad celebres rex,,,Sq,,ah53190,,,,,,,,,,,,626482
I-PS 121,,72r,45,Omnes sancti seraphin,,,Sq,,ah53112,,,,,,,,,,,,626483
I-PS 121,,73r,46,Chricto inclita cantica,,,Sq,,ah07118,,,,,,,,,,,,626484
I-PS 121,,74r,47,Haec est sacra festa,,,Sq,,ah37299,,,,,,,,,,,,626485
I-PS 121,,75r,48,Clare sanctorum senatus (incipit only),,,Sq,,ah53228,,,,,,,,,,,,626486
I-PS 121,,75v,49,Venite pusili simul,,,Sq,,ah37046,,,,,,,,,,,,626487
I-PS 121,,77v,50,Ad templi huius ... fundata,,,Sq,,ah53249,,,,,,,,,,,,626488
