siglum,marginalia,folio,sequence,incipit,feast,office,genre,position,cantus_id,mode,finalis,differentia,differentiae_database,fulltext_standardized,fulltext_ms,volpiano,image_link,melody_id,addendum,extra,node_id
CDN-Mlr MS Medieval 0220 (fragment),,001r,0,[Salutis nostrae auctorem magi venerati,Epiphania,M,V,01,007777b,*,,,,[Salutis nostrae auctorem magi venerati sunt in cunabulis et de thesauris suis mysticas ei munerum species] obtulerunt,{#} obtulerunt | In auro,,,,,,693749
CDN-Mlr MS Medieval 0220 (fragment),,001r,1,In columbae specie spiritus sanctus,Epiphania,M,R,1.2,006892,*,,,,In columbae specie spiritus sanctus visus est paterna vox audita est hic est filius meus dilectus in quo mihi bene complacui ,In columbe specie Spiritus sanctus visus est paterna vox audita est | Hic est filius meus dilectus in quo mihi bene complacui,,,,,,693750
CDN-Mlr MS Medieval 0220 (fragment),,001r,2,Caeli aperti sunt super eum,Epiphania,M,V,01,006892c,*,,,,Caeli aperti sunt super eum et vox patris intonuit ,Caeli aperti sunt super eum et vox Patris intonuit | Hic est ,,,,,,693751
CDN-Mlr MS Medieval 0220 (fragment),,001r,3,Reges Tharsis et insulae munera,Epiphania,M,R,1.3,007523,*,,,,Reges Tharsis et insulae munera offerrent reges Arabum et Saba dona domino deo adducent,Reges Tharsis et insulae munera offerent | Reges Arabum et Saba dona Domino Deo adducent,,,,,,693752
CDN-Mlr MS Medieval 0220 (fragment),,001r,4,Omnes de Saba venient aurum,Epiphania,M,V,01,007523a,*,,,,Omnes de Saba venient aurum et thus deferentes,Omnes de Saba venient aurum et thus deferentes | Reges,,,,,,693753
CDN-Mlr MS Medieval 0220 (fragment),,001r,5,Gloria*,Epiphania,M,V,02,909000,*,,,,Gloria*,Gloria,,,,,,693754
CDN-Mlr MS Medieval 0220 (fragment),,001r,6,Omnis terra adoret te et,Epiphania,M,A,2.1,004155,*,,,,"Omnis terra adoret te et psallat tibi psalmum dicat nomini tuo domine
","Omnis terra adoret te et psallat tibi psalmum dicat nomini tuo Domine | ~Iubilate Deo omnis terra
",,,,,,693755
CDN-Mlr MS Medieval 0220 (fragment),,001v,1,Reges Tharsis et insulae munera,Epiphania,M,A,2.2,004594,*,,,,Reges Tharsis et insulae munera offerrent regi domino,Reges Tharsis et insulae munera offerent Regi Domino | ~Deus iudicium tuum,,,,,,693756
CDN-Mlr MS Medieval 0220 (fragment),,001v,2,Omnes gentes quascumque fecisti venient,Epiphania,M,A,2.3,004125,*,,,,Omnes gentes quascumque fecisti venient et adorabunt coram te domine,Omnes gentes quascumque fecisti venient et adorabunt coram te Domine | ~Inclina domine,,,,,,693757
CDN-Mlr MS Medieval 0220 (fragment),,001v,3,Reges Tharsis et insulae munera,Epiphania,M,W,2.,008180,*,,,,Reges Tharsis et insulae munera offerrent R. Reges Arabum et Saba dona adducent,Reges Tharsis et insulae munera offerent | Reges Arabum et Saba dona adducent,,,,,,693758
CDN-Mlr MS Medieval 0220 (fragment),,001v,4,Illuminare illuminare Jerusalem venit lux,Epiphania,M,R,2.1,006882,*,,,,Illuminare illuminare Jerusalem venit lux tua et gloria domini super te orta est,Illuminare illuminare Ierusalem quia venit lux tuae | Et gloria Domini super te orta est,,,,,,693759
CDN-Mlr MS Medieval 0220 (fragment),,001v,5,Et ambulabunt gentes [in lumine,Epiphania,M,V,01,006882a,*,,,,Et ambulabunt gentes [in lumine tuo et reges in splendore ortus tui],Et ambulabunt Gentes {#},,,,,,693760
CDN-Mlr MS Medieval 0220 (fragment),,002r,0,[Quia vidisti me Thoma credidisti],Fer. 4 p. Pascha,V,A,M,004513,*,,,,[Quia vidisti me Thoma credidisti] beati qui non viderunt et crediderunt alleluia,{#} -ati qui non viderunt et crediderunt alleluia,,,,,,693761
CDN-Mlr MS Medieval 0220 (fragment),,002r,1,Christus resurgens ex mortuis jam,Fer. 5 p. Pascha,M,R,1,600356,*,,,,Christus resurgens ex mortuis jam non moritur mors illi ultra non dominabitur quod enim mortuus est peccato mortuus est semel quod autem vivit vivit deo alleluia alleluia,Christus resurgens ex mortuis iam non moritur mors illi ultra non dominabitur quod enim mortuus est peccato mortuus est semel | Quod autem vivit vivit Deo alleluia alleluia,,,,,,693762
CDN-Mlr MS Medieval 0220 (fragment),,002r,2,Mortuus est semel propter delicta ,Fer. 5 p. Pascha,M,V,01,600356a,*,,,,Mortuus est semel propter delicta nostra et resurrexit propter justificationem nostram ,Mortuus est semel propter delicta nostra et resurrexit propter iustificationem nostram | Quod,,,,,,693763
